,CAPE,Date,Price
0,9.76,1982-01-31,
1,9.85,1982-02-28,
2,10.13,1982-03-31,
3,10.12,1982-04-30,
4,9.55,1982-05-31,
5,9.18,1982-06-30,
6,9.19,1982-07-31,
7,9.05,1982-08-31,
8,9.59,1982-09-30,
9,9.62,1982-10-31,
10,9.82,1982-11-30,
11,10.51,1982-12-31,
12,10.35,1983-01-31,
13,11.06,1983-02-28,
14,12.49,1983-03-31,
15,13.3,1983-04-30,
16,12.1,1983-05-31,
17,12.66,1983-06-30,
18,13.08,1983-07-31,
19,12.23,1983-08-31,
20,12.57,1983-09-30,
21,13.7,1983-10-31,
22,14.01,1983-11-30,
23,14.19,1983-12-31,
24,14.61,1984-01-31,
25,13.91,1984-02-29,
26,13.92,1984-03-31,
27,13.94,1984-04-30,
28,12.89,1984-05-31,
29,13.16,1984-06-30,
30,12.3,1984-07-31,
31,13.05,1984-08-31,
32,14.05,1984-09-30,
33,14.51,1984-10-31,
34,14.6,1984-11-30,
35,14.8,1984-12-31,
36,15.43,1985-01-31,
37,15.61,1985-02-28,
38,15.72,1985-03-31,
39,16.3,1985-04-30,
40,16.99,1985-05-31,
41,18.06,1985-06-30,
42,17.06,1985-07-31,
43,18.69,1985-08-31,
44,20.09,1985-09-30,
45,22.49,1985-10-31,
46,21.97,1985-11-30,
47,24.57,1985-12-31,
48,24.77,1986-01-31,
49,24.08,1986-02-28,
50,25.85,1986-03-31,
51,27.24,1986-04-30,
52,23.46,1986-05-31,
53,23.09,1986-06-30,
54,21.51,1986-07-31,
55,24.78,1986-08-31,
56,23.38,1986-09-30,
57,23.62,1986-10-31,
58,24.8,1986-11-30,
59,24.14,1986-12-31,
60,21.25,1987-01-31,
61,20.06,1987-02-28,
62,20.38,1987-03-31,
63,20.51,1987-04-30,
64,19.5,1987-05-31,
65,21.03,1987-06-30,
66,21.79,1987-07-31,
67,22.41,1987-08-31,
68,21.91,1987-09-30,
69,17.0,1987-10-31,
70,14.57,1987-11-30,
71,14.13,1987-12-31,
72,13.17,1988-01-31,1083.3399658203125
73,15.45,1988-02-29,1062.3299560546875
74,14.86,1988-03-31,1049.1700439453125
75,14.86,1988-04-30,1075.6600341796875
76,14.78,1988-05-31,1133.81005859375
77,15.71,1988-06-30,1178.530029296875
78,15.89,1988-07-31,1169.4599609375
79,16.08,1988-08-31,1253.6800537109375
80,17.32,1988-09-30,1308.25
81,18.12,1988-10-31,1273.760009765625
82,17.69,1988-11-30,1330.22998046875
83,18.22,1988-12-31,1324.3399658203125
84,18.3,1989-01-31,1289.7900390625
85,17.73,1989-02-28,1319.8800048828125
86,17.71,1989-03-31,1374.0400390625
87,18.54,1989-04-30,1407.050048828125
88,18.35,1989-05-31,1477.219970703125
89,19.41,1989-06-30,1548.6800537109375
90,20.0,1989-07-31,1594.699951171875
91,21.0,1989-08-31,1570.6400146484375
92,20.97,1989-09-30,1464.8699951171875
93,19.65,1989-10-31,1556.4100341796875
94,21.06,1989-11-30,1778.1199951171875
95,23.47,1989-12-31,1821.2099609375
96,24.07,1990-01-31,1806.6300048828125
97,23.69,1990-02-28,1966.75
98,25.42,1990-03-31,1812.9100341796875
99,25.51,1990-04-30,1836.68994140625
100,23.34,1990-05-31,1884.6700439453125
101,24.0,1990-06-30,1922.9200439453125
102,24.09,1990-07-31,1622.010009765625
103,20.5,1990-08-31,1327.97998046875
104,16.7,1990-09-30,1434.5
105,18.39,1990-10-31,1436.5699462890625
106,18.42,1990-11-30,1389.3499755859375
107,18.09,1990-12-31,1421.1600341796875
108,17.76,1991-01-31,1564.449951171875
109,19.4,1991-02-28,1515.3199462890625
110,18.95,1991-03-31,1606.8699951171875
111,19.4,1991-04-30,1707.9599609375
112,20.18,1991-05-31,1623.72998046875
113,19.23,1991-06-30,1619.2900390625
114,18.61,1991-07-31,1649.8800048828125
115,18.79,1991-08-31,1605.469970703125
116,18.3,1991-09-30,1579.77001953125
117,18.16,1991-10-31,1571.06005859375
118,17.91,1991-11-30,1577.260009765625
119,17.55,1991-12-31,1685.699951171875
120,18.69,1992-01-31,1746.760009765625
121,19.47,1992-02-29,1718.3499755859375
122,18.73,1992-03-31,1728.0899658203125
123,18.77,1992-04-30,1806.3599853515625
124,18.87,1992-05-31,1754.949951171875
125,18.26,1992-06-30,1608.489990234375
126,16.29,1992-07-31,1529.969970703125
127,16.42,1992-08-31,1470.0899658203125
128,15.03,1992-09-30,1489.6800537109375
129,15.38,1992-10-31,1545.1199951171875
130,15.81,1992-11-30,1538.4300537109375
131,15.53,1992-12-31,1574.0400390625
132,15.86,1993-01-31,1680.02001953125
133,17.03,1993-02-28,1676.8399658203125
134,16.9,1993-03-31,1626.8299560546875
135,16.85,1993-04-30,1627.2099609375
136,16.24,1993-05-31,1700.9300537109375
137,16.77,1993-06-30,1823.0699462890625
138,17.44,1993-07-31,1931.8800048828125
139,18.75,1993-08-31,1910.22998046875
140,18.5,1993-09-30,2064.97998046875
141,20.27,1993-10-31,2052.919921875
142,20.2,1993-11-30,2255.2900390625
143,19.92,1993-12-31,2192.60009765625
144,20.87,1994-01-31,2103.239990234375
145,20.22,1994-02-28,2142.8798828125
146,19.98,1994-03-31,2252.510009765625
147,20.35,1994-04-30,2137.340087890625
148,20.52,1994-05-31,2020.8499755859375
149,20.05,1994-06-30,2152.18994140625
150,20.63,1994-07-31,2207.090087890625
151,21.36,1994-08-31,2002.300048828125
152,19.69,1994-09-30,2061.580078125
153,19.84,1994-10-31,2057.280029296875
154,20.14,1994-11-30,2097.510009765625
155,19.86,1994-12-31,2024.8199462890625
156,20.34,1995-01-31,2097.85009765625
157,20.72,1995-02-28,1914.68994140625
158,18.57,1995-03-31,2017.949951171875
159,19.34,1995-04-30,2099.949951171875
160,20.59,1995-05-31,2089.0400390625
161,20.94,1995-06-30,2222.510009765625
162,21.71,1995-07-31,2234.22998046875
163,21.92,1995-08-31,2201.27001953125
164,21.44,1995-09-30,2165.760009765625
165,21.09,1995-10-31,2254.949951171875
166,21.68,1995-11-30,2260.68994140625
167,21.6,1995-12-31,2463.0
168,23.83,1996-01-31,2485.179931640625
169,24.07,1996-02-29,2489.35009765625
170,23.57,1996-03-31,2492.6298828125
171,23.33,1996-04-30,2523.81005859375
172,24.96,1996-05-31,2570.43994140625
173,25.73,1996-06-30,2491.5
174,24.59,1996-07-31,2534.489990234375
175,25.28,1996-08-31,2655.489990234375
176,25.94,1996-09-30,2671.39990234375
177,26.09,1996-10-31,2848.840087890625
178,27.43,1996-11-30,2880.070068359375
179,27.36,1996-12-31,3037.699951171875
180,29.04,1997-01-31,3261.0400390625
181,31.3,1997-02-28,3407.830078125
182,30.68,1997-03-31,3438.090087890625
183,31.96,1997-04-30,3562.72998046875
184,34.01,1997-05-31,3766.889892578125
185,33.94,1997-06-30,4405.52001953125
186,41.35,1997-07-31,3919.7900390625
187,36.07,1997-08-31,4154.89013671875
188,37.55,1997-09-30,3753.659912109375
189,34.1,1997-10-31,3972.080078125
190,35.98,1997-11-30,4224.2998046875
191,35.87,1997-12-31,4442.52978515625
192,38.05,1998-01-31,4693.85986328125
193,42.29,1998-02-28,5097.25
194,44.86,1998-03-31,5241.22998046875
195,44.1,1998-04-30,5556.990234375
196,48.48,1998-05-31,5841.830078125
197,50.75,1998-06-30,5861.18994140625
198,50.53,1998-07-31,4811.27978515625
199,50.2,1998-08-31,4430.91015625
200,38.52,1998-09-30,4690.990234375
201,39.84,1998-10-31,5026.14013671875
202,41.3,1998-11-30,5006.56982421875
203,41.21,1998-12-31,5180.2900390625
204,43.72,1999-01-31,4903.9599609375
205,42.43,1999-02-28,4865.27001953125
206,40.61,1999-03-31,5360.43994140625
207,39.92,1999-04-30,5068.58984375
208,42.25,1999-05-31,5378.52001953125
209,44.24,1999-06-30,5101.8701171875
210,41.74,1999-07-31,5270.77001953125
211,42.53,1999-08-31,5149.830078125
212,41.34,1999-09-30,5525.39990234375
213,44.07,1999-10-31,5896.0400390625
214,45.77,1999-11-30,6958.14013671875
215,45.74,1999-12-31,6835.60009765625
216,53.12,2000-01-31,7644.5498046875
217,58.95,2000-02-29,7599.39013671875
218,56.83,2000-03-31,7414.68017578125
219,53.62,2000-04-30,7109.669921875
220,52.94,2000-05-31,6898.2099609375
221,50.0,2000-06-30,7190.3701171875
222,51.34,2000-07-31,7216.4501953125
223,50.51,2000-08-31,6798.1201171875
224,48.25,2000-09-30,7077.43994140625
225,50.22,2000-10-31,6372.330078125
226,43.94,2000-11-30,6433.60986328125
227,43.3,2000-12-31,6795.14013671875
228,45.7,2001-01-31,6208.240234375
229,41.84,2001-02-28,5829.9501953125
230,37.8,2001-03-31,6264.509765625
231,37.26,2001-04-30,6123.259765625
232,38.81,2001-05-31,6058.3798828125
233,37.69,2001-06-30,5861.18994140625
234,36.56,2001-07-31,5188.169921875
235,32.88,2001-08-31,4308.14990234375
236,27.51,2001-09-30,4559.1298828125
237,29.41,2001-10-31,4989.91015625
238,31.9,2001-11-30,5160.10009765625
239,31.41,2001-12-31,5107.60986328125
240,32.27,2002-01-31,5039.080078125
241,31.18,2002-02-28,5397.2900390625
242,30.31,2002-03-31,5041.2001953125
243,31.97,2002-04-30,4818.2998046875
244,30.85,2002-05-31,4382.56005859375
245,27.97,2002-06-30,3700.139892578125
246,23.13,2002-07-31,3712.93994140625
247,23.38,2002-08-31,2769.030029296875
248,17.57,2002-09-30,3152.85009765625
249,20.21,2002-10-31,3320.320068359375
250,21.07,2002-11-30,2892.6298828125
251,20.79,2002-12-31,2747.830078125
252,18.09,2003-01-31,2547.050048828125
253,17.04,2003-02-28,2423.8701171875
254,15.42,2003-03-31,2942.0400390625
255,18.33,2003-04-30,2982.679931640625
256,19.84,2003-05-31,3220.580078125
257,20.92,2003-06-30,3487.860107421875
258,22.07,2003-07-31,3484.580078125
259,22.34,2003-08-31,3256.780029296875
260,20.9,2003-09-30,3655.989990234375
261,23.68,2003-10-31,3745.949951171875
262,24.04,2003-11-30,3965.159912109375
263,23.61,2003-12-31,4058.60009765625
264,25.28,2004-01-31,4018.159912109375
265,26.35,2004-02-29,3856.699951171875
266,24.07,2004-03-31,3985.2099609375
267,24.13,2004-04-30,3921.409912109375
268,25.14,2004-05-31,4052.72998046875
269,24.54,2004-06-30,3895.610107421875
270,23.06,2004-07-31,3785.2099609375
271,22.2,2004-08-31,3892.89990234375
272,22.8,2004-09-30,3960.25
273,23.4,2004-10-31,4126.0
274,24.25,2004-11-30,4256.080078125
275,23.86,2004-12-31,4254.85009765625
276,23.75,2005-01-31,4350.490234375
277,25.37,2005-02-28,4348.77001953125
278,24.23,2005-03-31,4184.83984375
279,23.86,2005-04-30,4460.6298828125
280,25.45,2005-05-31,4586.27978515625
281,25.26,2005-06-30,4886.5
282,26.46,2005-07-31,4829.68994140625
283,26.07,2005-08-31,5044.1201171875
284,26.55,2005-09-30,4929.06982421875
285,26.14,2005-10-31,5193.39990234375
286,27.14,2005-11-30,5408.259765625
287,27.83,2005-12-31,5674.14990234375
288,26.97,2006-01-31,5796.0400390625
289,30.29,2006-02-28,5970.080078125
290,29.4,2006-03-31,6009.89013671875
291,29.27,2006-04-30,5692.85986328125
292,29.93,2006-05-31,5683.31005859375
293,27.01,2006-06-30,5681.97021484375
294,26.22,2006-07-31,5859.56982421875
295,26.76,2006-08-31,6004.330078125
296,26.87,2006-09-30,6268.919921875
297,28.22,2006-10-31,6309.18994140625
298,28.16,2006-11-30,6596.919921875
299,29.1,2006-12-31,6789.10986328125
300,29.11,2007-01-31,6715.43994140625
301,29.89,2007-02-28,6917.02978515625
302,29.26,2007-03-31,7408.8701171875
303,28.97,2007-04-30,7883.0400390625
304,31.88,2007-05-31,8007.31982421875
305,32.53,2007-06-30,7584.14013671875
306,30.22,2007-07-31,7638.169921875
307,30.09,2007-08-31,7861.509765625
308,29.96,2007-09-30,8019.22021484375
309,31.04,2007-10-31,7870.52001953125
310,29.98,2007-11-30,8067.31982421875
311,29.66,2007-12-31,6851.75
312,24.78,2008-01-31,6748.1298828125
313,25.23,2008-02-29,6534.97021484375
314,23.56,2008-03-31,6948.81982421875
315,24.82,2008-04-30,7096.7900390625
316,25.96,2008-05-31,6418.31982421875
317,22.91,2008-06-30,6479.56005859375
318,22.44,2008-07-31,6422.2998046875
319,22.14,2008-08-31,5831.02001953125
320,19.39,2008-09-30,4987.97021484375
321,16.65,2008-10-31,4669.43994140625
322,15.23,2008-11-30,4810.2001953125
323,15.08,2008-12-31,4338.35009765625
324,13.74,2009-01-31,3843.739990234375
325,12.38,2009-02-28,4084.760009765625
326,13.33,2009-03-31,4769.4501953125
327,15.69,2009-04-30,4940.81982421875
328,16.51,2009-05-31,4808.64013671875
329,16.06,2009-06-30,5332.14013671875
330,17.39,2009-07-31,5464.60986328125
331,17.26,2009-08-31,5675.16015625
332,18.45,2009-09-30,5414.9599609375
333,17.68,2009-10-31,5625.9501953125
334,18.4,2009-11-30,5957.43017578125
335,18.22,2009-12-31,5608.7900390625
336,18.13,2010-01-31,5598.4599609375
337,18.31,2010-02-28,6153.5498046875
338,19.76,2010-03-31,6135.7001953125
339,19.81,2010-04-30,5964.330078125
340,20.11,2010-05-31,5965.52001953125
341,18.96,2010-06-30,6147.97021484375
342,19.11,2010-07-31,5925.22021484375
343,18.03,2010-08-31,6229.02001953125
344,18.91,2010-09-30,6601.3701171875
345,19.89,2010-10-31,6688.490234375
346,20.25,2010-11-30,6914.18994140625
347,20.24,2010-12-31,7077.47998046875
348,21.26,2011-01-31,7272.31982421875
349,22.09,2011-02-28,7041.31005859375
350,20.8,2011-03-31,7514.4599609375
351,20.86,2011-04-30,7293.68994140625
352,21.87,2011-05-31,7376.240234375
353,21.57,2011-06-30,7158.77001953125
354,20.54,2011-07-31,5784.85009765625
355,16.46,2011-08-31,5502.02001953125
356,15.49,2011-09-30,6141.33984375
357,17.05,2011-10-31,6088.83984375
358,16.65,2011-11-30,5898.35009765625
359,16.21,2011-12-31,6458.91015625
360,17.68,2012-01-31,6856.080078125
361,18.92,2012-02-29,6946.830078125
362,18.92,2012-03-31,6761.18994140625
363,18.96,2012-04-30,6264.3798828125
364,16.78,2012-05-31,6416.27978515625
365,16.74,2012-06-30,6772.259765625
366,17.51,2012-07-31,6970.7900390625
367,17.59,2012-08-31,7216.14990234375
368,18.11,2012-09-30,7260.6298828125
369,18.08,2012-10-31,7405.5
370,18.05,2012-11-30,7612.39013671875
371,18.13,2012-12-31,7776.0498046875
372,18.91,2013-01-31,7741.7001953125
373,18.52,2013-02-28,7795.31005859375
374,18.43,2013-03-31,7913.7099609375
375,18.67,2013-04-30,8348.83984375
376,19.17,2013-05-31,7959.22021484375
377,18.01,2013-06-30,8275.9697265625
378,18.66,2013-07-31,8103.14990234375
379,17.94,2013-08-31,8594.400390625
380,18.92,2013-09-30,9033.919921875
381,19.73,2013-10-31,9405.2998046875
382,20.3,2013-11-30,9552.16015625
383,20.38,2013-12-31,9306.48046875
384,20.69,2014-01-31,9692.080078125
385,20.64,2014-02-28,9555.91015625
386,20.4,2014-03-31,9603.23046875
387,20.43,2014-04-30,9943.26953125
388,20.67,2014-05-31,9833.0703125
389,20.32,2014-06-30,9407.48046875
390,19.34,2014-07-31,9470.169921875
391,19.19,2014-08-31,9474.2998046875
392,19.15,2014-09-30,9326.8701171875
393,18.75,2014-10-31,9980.849609375
394,19.76,2014-11-30,9805.5498046875
395,19.84,2014-12-31,10694.3203125
396,21.42,2015-01-31,11401.66015625
397,22.56,2015-02-28,11966.169921875
398,24.03,2015-03-31,11454.3798828125
399,22.87,2015-04-30,11413.8203125
400,22.27,2015-05-31,10944.9697265625
401,21.16,2015-06-30,11308.990234375
402,21.79,2015-07-31,10259.4599609375
403,21.48,2015-08-31,9660.4404296875
404,18.56,2015-09-30,10850.1396484375
405,20.57,2015-10-31,11382.23046875
406,21.36,2015-11-30,10743.009765625
407,21.43,2015-12-31,9798.1103515625
408,18.58,2016-01-31,9495.400390625
409,17.81,2016-02-29,9965.509765625
410,19.13,2016-03-31,10038.9697265625
411,19.03,2016-04-30,10262.740234375
412,19.26,2016-05-31,9680.08984375
413,18.13,2016-06-30,10337.5
414,19.34,2016-07-31,10592.6904296875
415,19.6,2016-08-31,10511.01953125
416,19.68,2016-09-30,10665.009765625
417,19.72,2016-10-31,10640.2998046875
418,19.39,2016-11-30,11481.0595703125
419,20.44,2016-12-31,11535.3095703125
420,20.62,2017-01-31,11834.41015625
421,20.85,2017-02-28,12312.8701171875
422,22.92,2017-03-31,12438.009765625
423,23.02,2017-04-30,12615.0595703125
424,22.85,2017-05-31,12325.1201171875
425,22.38,2017-06-30,12118.25
426,22.05,2017-07-31,12055.83984375
427,21.39,2017-08-31,12828.8603515625
428,23.01,2017-09-30,13229.5703125
429,23.54,2017-10-31,13023.98046875
430,23.12,2017-11-30,12917.6396484375
431,22.68,2017-12-31,13189.48046875
432,23.36,2018-01-31,12435.849609375
433,21.83,2018-02-28,12096.73046875
434,21.99,2018-03-31,12612.1103515625
435,22.62,2018-04-30,12604.8896484375
436,22.2,2018-05-31,12306.0
437,21.59,2018-06-30,12805.5
438,22.46,2018-07-31,12364.0595703125
439,21.37,2018-08-31,12246.73046875
440,21.27,2018-09-30,11447.509765625
441,19.78,2018-10-31,11257.240234375
442,19.21,2018-11-30,10558.9599609375
443,17.72,2018-12-31,11173.099609375
444,18.76,2019-01-31,11515.6396484375
445,18.91,2019-02-28,11526.0400390625
446,19.17,2019-03-31,12344.080078125
447,20.41,2019-04-30,11726.83984375
448,19.0,2019-05-31,12398.7998046875
449,19.7,2019-06-30,12189.0400390625
450,19.44,2019-07-31,11939.2802734375
451,18.89,2019-08-31,12428.080078125
452,19.48,2019-09-30,12866.7900390625
453,20.09,2019-10-31,13236.3798828125
454,20.57,2019-11-30,13249.009765625
455,20.15,2019-12-31,12981.9697265625
456,19.71,2020-01-31,11890.349609375
457,18.01,2020-02-29,9935.83984375
458,15.17,2020-03-31,10861.6396484375
459,16.44,2020-04-30,11586.849609375
460,17.72,2020-05-31,12310.9296875
461,18.71,2020-06-30,12313.3603515625
462,18.62,2020-07-31,12945.3798828125
463,19.94,2020-08-31,12760.73046875
464,19.7,2020-09-30,11556.48046875
465,17.74,2020-10-31,13291.16015625
466,18.94,2020-11-30,13718.7802734375
467,20.52,2020-12-31,13432.8701171875
468,20.24,2021-01-31,13786.2900390625
469,21.23,2021-02-28,15008.33984375
470,22.22,2021-03-31,15135.91015625
471,22.55,2021-04-30,15421.1298828125
472,22.47,2021-05-31,15531.0400390625
473,22.74,2021-06-30,15544.3896484375
474,22.72,2021-07-31,15835.08984375
475,22.56,2021-08-31,15260.6904296875
476,21.66,2021-09-30,15688.76953125
477,22.33,2021-10-31,15100.1298828125
478,20.86,2021-11-30,15884.8603515625
479,21.83,2021-12-31,15471.2001953125
480,21.24,2022-01-31,14461.01953125
481,19.78,2022-02-28,14414.75
482,19.64,2022-03-31,14097.8798828125
483,18.63,2022-04-30,14388.349609375
484,18.78,2022-05-31,12783.76953125
485,16.67,2022-06-30,13484.0498046875
486,17.35,2022-07-31,12834.9599609375
487,16.39,2022-08-31,12114.3603515625
488,15.4,2022-09-30,13253.740234375
489,16.7,2022-10-31,14397.0400390625
490,18.48,2022-11-30,13923.58984375
491,17.22,2022-12-31,15128.26953125
492,18.92,2023-01-31,15365.1396484375
493,18.94,2023-02-28,15628.83984375
494,19.68,2023-03-31,15922.3798828125
495,20.03,2023-04-30,15664.01953125
496,19.53,2023-05-31,
